"證券代號 TT","可借券賣出股數"
"證券代號 TT","可借券賣出股數"
"4173 TT","108,399"
"1903 TT","14,932"
"4174 TT","262,270"
"1904 TT","109,688"
"4205 TT","5,539"
"1905 TT","224,167"
"4207 TT","17,603"
"1906 TT","137,785"
"4303 TT","2,336"
"1907 TT","217,052"
"4305 TT","4,688"
"1909 TT","502,564"
"4401 TT","25,512"
"2002 TT","7,416,636"
"4406 TT","34,842"
"2006 TT","295,411"
"4416 TT","1,986"
"2007 TT","47,666"
"4417 TT","87,023"
"2008 TT","28,347"
"4420 TT","131,394"
"2010 TT","145,183"
"4429 TT","6,848"
"2012 TT","13,459"
"4430 TT","11,785"
"2013 TT","111,891"
"4432 TT","90,822"
"2015 TT","124,734"
"4433 TT","9,053"
"2017 TT","167,787"
"4502 TT","32,456"
"2020 TT","98,399"
"4506 TT","65,354"
"2023 TT","533,308"
"4510 TT","173,337"
"2024 TT","26,061"
"4513 TT","115,184"
"2027 TT","256,513"
"4523 TT","301,612"
"2029 TT","55,538"
"4527 TT","6,238"
"2030 TT","117,148"
"4528 TT","107,835"
"2031 TT","139,396"
"4529 TT","333,087"
"2032 TT","127,951"
"4533 TT","650,122"
"2033 TT","12,658"
"4534 TT","314,115"
"2034 TT","337,066"
"4535 TT","27,665"
"2038 TT","36,899"
"4541 TT","44,817"
"2049 TT","578,897"
"4549 TT","6,927"
"2059 TT","65,075"
"4550 TT","15,053"
"2062 TT","154,314"
"4706 TT","126,944"
"2101 TT","488,511"
"4707 TT","58,351"
"2102 TT","128,016"
"4711 TT","5,016"
"2103 TT","847,258"
"4712 TT","19,789"
"2104 TT","150,055"
"4714 TT","25,145"
"2105 TT","1,398,225"
"4716 TT","23,272"
"2106 TT","245,004"
"4721 TT","352,329"
"2107 TT","283,274"
"4728 TT","177,847"
"2108 TT","436,198"
"4736 TT","75,128"
"2109 TT","100,331"
"4739 TT","706,193"
"2114 TT","13,827"
"4745 TT","163,587"
"2115 TT","107,794"
"4747 TT","13,165"
"2201 TT","361,624"
"4803 TT","149,028"
"2204 TT","444,846"
"4804 TT","45,934"
"2206 TT","312,866"
"4903 TT","170,731"
"2207 TT","57,013"
"4905 TT","24,691"
"2208 TT","226,603"
"4908 TT","37,688"
"2227 TT","42,142"
"4909 TT","57,068"
"2228 TT","166,692"
"4924 TT","42,326"
"2231 TT","92,372"
"4933 TT","53,604"
"2301 TT","1,145,378"
"4939 TT","25,701"
"2302 TT","67,282"
