"證券代號 TT","可借券賣出股數"
"2030 TT","81,208"
"4528 TT","81,737"
"2031 TT","121,819"
"4529 TT","294,663"
"2032 TT","146,952"
"4533 TT","542,211"
"2033 TT","10,023"
"4534 TT","668,658"
"2034 TT","189,940"
"4535 TT","41,532"
"2038 TT","23,288"
"4541 TT","91,097"
"2049 TT","416,225"
"4549 TT","10,462"
"2059 TT","64,123"
"4550 TT","15,033"
"2062 TT","204,778"
"4706 TT","202,452"
"2101 TT","385,016"
"4707 TT","64,101"
"2102 TT","123,422"
"4711 TT","5,409"
"2103 TT","730,843"
"4712 TT","53,092"
"2104 TT","94,154"
"4714 TT","16,678"
"2105 TT","1,571,913"
"4716 TT","15,348"
"2106 TT","390,267"
"4721 TT","643,046"
"2107 TT","191,791"
"4728 TT","127,524"
"2108 TT","405,399"
"4735 TT","53,381"
"2109 TT","79,688"
"4736 TT","125,819"
"2114 TT","10,647"
"4739 TT","730,887"
"2115 TT","121,822"
"4745 TT","151,850"
"2201 TT","304,763"
"4747 TT","9,209"
"2204 TT","379,223"
"4803 TT","120,666"
"2206 TT","247,595"
"4804 TT","32,723"
"2207 TT","54,636"
"4903 TT","146,143"
"2208 TT","131,995"
"4905 TT","14,504"
"2227 TT","36,818"
"4908 TT","19,006"
"2228 TT","186,117"
"4909 TT","39,270"
"2231 TT","105,257"
"4924 TT","25,669"
"2301 TT","1,104,887"
"4933 TT","48,946"
"2302 TT","34,941"
"4939 TT","28,205"
"2303 TT","6,421,808"
"4944 TT","109,789"
"2305 TT","203,325"
"4947 TT","119,000"
"2308 TT","1,039,836"
"4953 TT","56,880"
"2311 TT","4,100,353"
"4966 TT","313,845"
"2312 TT","717,264"
"4971 TT","253,388"
"2313 TT","1,664,356"
"4972 TT","25,292"
"2314 TT","305,639"
"4973 TT","27,160"
"2316 TT","1,176,923"
"4974 TT","21,365"
"2317 TT","5,313,663"
"4979 TT","385,535"
"2323 TT","614,725"
"4991 TT","290,780"
"2324 TT","2,411,718"
"4995 TT","7,487"
"2325 TT","3,108,901"
"5009 TT","380,719"
"2327 TT","226,139"
"5011 TT","1,051"
"2328 TT","206,362"
"5013 TT","31,316"
"2329 TT","463,706"
